"RefSeq number"	"Virus name"	"Species"	"Virus name"	"Isolate"	"Accession number"	"RefSeq number"	"Virus Abbrev."	"taxo"
"NC_026141"	"Adelie penguin polyomavirus isolate AdPyV_Crozier_2012"	"Pygoscelis adeliae polyomavirus 1"	"Adélie penguin polyomavirus"	"Crozier_2012"	"KP033140"	"NC_026141"	"ADPyV"	"gamma"
"NC_022519"	"African elephant polyomavirus 1"	"Loxodonta africana polyomavirus 1"	"African elephant polyomavirus 1"	"DK-1/2011"	"KF147833"	"NC_022519"	"AelPyV1"	"beta"
"NC_004763"	"African green monkey polyomavirus"					"NC_004763"	"AgPyV"	"unassigned"
"NC_040715"	"Akodon montensis polyomavirus isolate 1b"			"1b"		"NC_040715"	"AmPyV"	"unassigned"
"NC_038558"	"Artibeus planirostris polyomavirus 1 isolate R104"	"Artibeus planirostris polyomavirus 1"	"bat polyomavirus 2c"	"2c"	"JQ958887"	"NC_038558"	"BatPyV2c"	"beta"
"NC_038555"	"Artibeus planirostris polyomavirus 2 isolate A1055"	"Artibeus planirostris polyomavirus 2"	"bat polyomavirus 3a-A1055"	"A1055"	"JQ958886"	"NC_038555"	"BatPyV3a-A1055"	"alpha"
"NC_038556"	"Artibeus planirostris polyomavirus 3 isolate A504"	"Artibeus planirostris polyomavirus 3"	"bat polyomavirus 4a"	"A504"	"JQ958890"	"NC_038556"	"BatPyV4a"	"alpha"
"NC_019853"	"Ateles paniscus polyomavirus 1"	"Ateles paniscus polyomavirus 1"	"Ateles paniscus polyomavirus 1"	1960	"JX159987"	"NC_019853"	"ApanPyV1"	"alpha"
"NC_028117"	"Bank vole polyomavirus isolate KS/14/281"	"Myodes glareolus polyomavirus 1"	"Myodes glareolus polyomavirus 1"	"KS/14/201"	"KR612368"	"NC_028117"	"BVPyV"	"beta"
"NC_026767"	"Bat polyomanvirus 5b-1 DNA"	"Pteropus vampyrus polyomavirus 1"	"bat polyomavirus 5b1"	"5b-1"	"AB972944"	"NC_026767"	"BatPyV5b-1"	"alpha"
"NC_026768"	"Bat polyomavirus 5a DNA"	"Dobsonia moluccensis polyomavirus 1"	"bat polyomavirus 5a"	"5a"	"AB972945"	"NC_026768"	"BatPyV5a"	"alpha"
"NC_038554"	"Bat polyomavirus 5b DNA"	"Acerodon celebensis polyomavirus 1"	"bat polyomavirus 5b2"	"5b-2"	"AB972940"	"NC_038554"	"BatPyV5b-2"	"alpha"
"NC_026762"	"Bat polyomavirus 6a DNA"	"Acerodon celebensis polyomavirus 2"	"bat polyomavirus 6a"	"6a"	"AB972941"	"NC_026762"	"BatPyV6a"	"beta"
