ADPyV	Adelie penguin polyomavirus isolate AdPyV_Crozier_2012	Gammapolyomavirus
AelPyV1	African elephant polyomavirus 1	Betapolyomavirus
AgPyV	African green monkey polyomavirus	Unassigned
AmPyV	Akodon montensis polyomavirus isolate 1b	Unassigned
BatPyV2c	Artibeus planirostris polyomavirus 1 isolate R104	Betapolyomavirus
BatPyV3a-A1055	Artibeus planirostris polyomavirus 2 isolate A1055	Alphapolyomavirus
BatPyV4a	Artibeus planirostris polyomavirus 3 isolate A504	Alphapolyomavirus
ApanPyV1	Ateles paniscus polyomavirus 1	Alphapolyomavirus
BVPyV	Bank vole polyomavirus isolate KS/14/281	Betapolyomavirus
BatPyV5b-1	Bat polyomanvirus 5b-1 DNA	Alphapolyomavirus
BatPyV5a	Bat polyomavirus 5a DNA	Alphapolyomavirus
BatPyV5b-2	Bat polyomavirus 5b DNA	Alphapolyomavirus
BatPyV6a	Bat polyomavirus 6a DNA	Betapolyomavirus
BatPyV6b	Bat polyomavirus 6b DNA	Betapolyomavirus
BatPyV6c	Bat polyomavirus 6c DNA	Betapolyomavirus
BatPyV6d	Bat polyomavirus 6d DNA	Unassigned
BK virus; BKV; BKPyV	BK polyomavirus	Betapolyomavirus
BassPyV1	Black sea bass polyomavirus 1 isolate 2835	Unassigned
OraPyV-Bor	Bornean orang-utan polyomavirus complete genome	Alphapolyomavirus
BPyV	Bovine polyomavirus	Unassigned
BPyV2	Bovine polyomavirus 2 strain BPyV2-SF	Unassigned
BPyV3	Bovine polyomavirus-3 isolate 3S5	Unassigned
BFDV	Budgerigar fledgling disease virus - 1	Gammapolyomavirus
Butcherbird PyV	Butcherbird polyomavirus isolate AWH19840	Gammapolyomavirus
SLPyV	California sea lion polyomavirus 1	Betapolyomavirus
CaPyV	Canary polyomavirus	Gammapolyomavirus
CfamPyV1	Canis familiaris polyomavirus 1 isolate R006926 CT2015	Betapolyomavirus
CardiodermaPyV	Cardioderma polyomavirus isolate KY336	Alphapolyomavirus
BatPyV4b	Carollia perspicillata polyomavirus 1 isolate C1109	Alphapolyomavirus
CalbPyV1	Cebus albifrons polyomavirus 1	Betapolyomavirus
CeryPyV1	Cercopithecus erythrotis polyomavirus 1 isolate 4077	Betapolyomavirus
ChaerePyv1	Chaerephon polyomavirus 1 isolate KY397	Unassigned
ChPyV	Chimpanzee polyomavirus Bob complete genome	Alphapolyomavirus
VmPyV1	Chlorocebus pygerythrus polyomavirus 1 DNA	Alphapolyomavirus
VmPyV2	Chlorocebus pygerythrus polyomavirus 2 DNA	Betapolyomavirus
